ORDEN, LLAVEHOG, ESTADOCIVIL
1,60047181,4
1,60047191,3
1,60047221,4
2,60047221,5
2,60047301,5
2,60047311,4
1,60047361,4
1,60047401,4
2,60047411,4
1,60047441,3
1,60047521,4
1,60047571,4
3,60047571,4
1,60047661,4
1,60047681,4
1,60047781,4
1,60047841,4
1,60047891,5
1,60048011,4
4,60048031,4
3,60048101,4
1,60048161,4
3,60048221,5
1,60048291,4
3,60048301,4
1,60048331,4
4,60048351,5
1,60048371,4
3,60048371,4
1,60048461,4
2,60048491,4
3,60048531,4
3,60048641,4
3,60048691,4
5,60048691,4
1,60048911,4
5,60048931,4
1,60048951,4
1,60049081,4
1,60049101,4
1,60049131,3
2,60049161,4
1,60049211,4
2,60049291,4
1,60049461,4
5,60049461,5
1,60049541,4
7,60049541,5
6,60049561,5
1,60049581,4
1,60049781,5
1,60049861,4
1,60049951,4
3,60050001,4
1,60050021,5
1,60050051,3
1,60050081,5
3,60050081,4
4,60050081,4
3,60050201,4
1,60050211,5
4,60050211,5
1,60050261,3
2,60050341,5
3,60050381,5
3,60050481,5
3,60050501,5
3,60050531,5
1,60050611,4
3,60050721,4
1,60050921,5
1,60050931,4
3,60050931,4
1,60050951,4
1,60051021,5
1,60051071,5
1,60051111,5
1,60051371,5
4,60051391,5
1,60051401,4
4,60051441,5
1,60051451,3
1,60051501,4
1,60051581,4
5,60051581,5
2,60051611,4
1,60051631,5
5,60051631,5
4,60051671,5
2,60051691,4
3,60051711,5
1,60051741,4
1,60051861,4
3,60051911,4
2,60051921,5
4,60051961,5
2,60051971,4
4,60051971,5
1,60052011,4
1,60052031,4
1,60052071,4
1,60052111,4
1,60052121,4
1,60052131,5
1,60052161,5
1,60052251,3
3,60052291,4
1,60052301,4
1,60052381,5
1,60052391,4
1,60052421,4
2,60052491,4
3,60052671,4
1,60052681,4
2,60052681,4
1,60052791,4
1,60052851,4
1,60052941,4
4,60052971,4
1,60053071,4
1,60053091,3
1,60053291,4
1,60053701,4
1,60053871,5
1,60054051,4
3,60054051,5
3,60054061,4
2,60054131,5
1,60054291,4
3,60054401,5
1,60054421,4
1,60054441,4
1,60054461,5
1,60054471,3
2,60054531,5
1,60054621,5
1,60054761,4
1,60054771,5
3,60054771,5
1,60054871,5
1,60054941,4
1,60054951,4
1,60054961,5
1,60055001,4
1,60055011,5
1,60055051,4
