"ORDEN","P6020","P6051","P5502","P6071","P6071S1","P6081","P6081S1","P6083","P6083S1","LLAVEHOG"
3,1,3,5,0,0,1,1,1,2,"60000751"
4,2,3,5,0,0,1,1,1,2,"60000751"
1,2,1,4,0,0,2,0,2,0,"60000761"
1,1,1,2,1,2,2,0,2,0,"60000771"
2,2,2,2,1,1,3,0,3,0,"60000771"
3,2,3,5,0,0,1,1,1,2,"60000771"
4,1,3,5,0,0,1,1,1,2,"60000771"
1,2,1,4,0,0,3,0,3,0,"60000791"
1,2,1,2,1,2,2,0,2,0,"60000801"
2,1,2,2,1,1,2,0,2,0,"60000801"
1,1,1,2,1,2,3,0,3,0,"60000821"
2,2,2,2,1,1,2,0,2,0,"60000821"
3,1,3,5,0,0,1,1,1,2,"60000821"
1,1,1,1,1,2,3,0,3,0,"60000831"
2,2,2,1,1,1,2,0,2,0,"60000831"
1,2,1,6,2,0,2,0,2,0,"60000841"
1,1,1,4,0,0,2,0,2,0,"60000851"
2,2,3,5,0,0,1,1,2,0,"60000851"
3,2,3,5,0,0,1,1,2,0,"60000851"
1,1,1,2,1,2,2,0,2,0,"60000861"
2,2,2,2,1,1,2,0,2,0,"60000861"
3,2,3,0,0,0,1,1,1,2,"60000861"
1,1,1,2,1,2,3,0,2,0,"60000871"
2,2,2,2,1,1,3,0,3,0,"60000871"
3,2,3,5,0,0,1,1,1,2,"60000871"
1,2,1,3,0,0,3,0,3,0,"60000881"
2,2,3,5,0,0,3,0,1,1,"60000881"
3,1,3,5,0,0,3,0,1,1,"60000881"
1,1,1,2,1,2,3,0,2,0,"60000891"
2,2,2,2,1,1,3,0,3,0,"60000891"
3,1,3,5,0,0,2,0,2,0,"60000891"
1,2,1,4,0,0,3,0,2,0,"60000901"
2,2,3,4,0,0,2,0,1,1,"60000901"
3,1,4,0,0,0,2,0,1,2,"60000901"
1,1,1,5,0,0,2,0,1,2,"60000911"
2,2,5,4,0,0,2,0,2,0,"60000911"
3,1,7,5,0,0,2,0,1,2,"60000911"
4,1,7,5,0,0,2,0,1,2,"60000911"
5,1,7,5,0,0,2,0,1,2,"60000911"
6,1,7,0,0,0,2,0,1,2,"60000911"
1,1,1,6,1,2,3,0,3,0,"60000921"
2,2,2,6,1,1,2,0,2,0,"60000921"
1,1,1,6,1,2,2,0,3,0,"60000931"
2,2,2,6,1,1,3,0,2,0,"60000931"
1,1,1,3,0,0,3,0,3,0,"60000941"
1,2,1,3,0,0,3,0,3,0,"60000951"
1,1,1,6,1,2,3,0,3,0,"60000961"
2,2,2,6,1,1,3,0,3,0,"60000961"
3,2,4,5,0,0,2,0,2,0,"60000961"
1,2,1,4,0,0,3,0,3,0,"60000971"
2,1,3,5,0,0,2,0,1,1,"60000971"
3,2,3,5,0,0,2,0,1,1,"60000971"
1,1,1,6,1,2,2,0,2,0,"60000981"
2,2,2,6,1,1,2,0,3,0,"60000981"
3,2,3,0,0,0,1,1,1,2,"60000981"
1,1,1,2,1,2,2,0,3,0,"60000991"
2,2,2,2,1,1,3,0,3,0,"60000991"
3,2,3,0,0,0,1,1,1,2,"60000991"
4,2,7,3,0,0,2,0,3,0,"60000991"
5,2,9,4,0,0,3,0,1,4,"60000991"
6,2,9,0,0,0,2,0,1,5,"60000991"
1,1,1,6,1,2,3,0,3,0,"60001001"
2,2,2,6,1,1,2,0,2,0,"60001001"
3,2,3,0,0,0,1,1,1,2,"60001001"
1,2,1,3,0,0,3,0,2,0,"60001011"
2,1,4,0,0,0,2,0,2,0,"60001011"
1,1,1,4,0,0,3,0,3,0,"60001021"
1,1,1,6,1,2,2,0,2,0,"60001031"
2,2,2,6,1,1,1,5,1,6,"60001031"
3,2,3,0,0,0,1,1,1,2,"60001031"
4,2,3,0,0,0,1,1,1,2,"60001031"
5,1,6,4,0,0,2,0,2,0,"60001031"
6,2,6,4,0,0,2,0,2,0,"60001031"
1,1,1,2,1,2,3,0,3,0,"60001041"
2,2,2,2,1,1,3,0,1,3,"60001041"
3,2,6,3,0,0,3,0,3,0,"60001041"
1,1,1,4,0,0,2,0,2,0,"60001051"
1,1,1,6,1,2,3,0,3,0,"60001061"
2,2,2,6,1,1,3,0,2,0,"60001061"
3,1,3,5,0,0,1,1,1,2,"60001061"
4,1,3,5,0,0,1,1,1,2,"60001061"
5,1,3,0,0,0,1,1,1,2,"60001061"
6,2,3,4,0,0,1,1,1,2,"60001061"
7,1,4,0,0,0,2,0,1,6,"60001061"
1,1,1,6,1,2,3,0,3,0,"60001071"
2,2,2,6,1,1,3,0,3,0,"60001071"
1,2,1,2,1,2,2,0,2,0,"60001081"
2,1,2,2,1,1,2,0,2,0,"60001081"
3,2,3,5,0,0,2,0,1,1,"60001081"
4,1,3,0,0,0,2,0,1,1,"60001081"
1,1,1,6,1,2,3,0,3,0,"60001091"
2,2,2,6,1,1,3,0,3,0,"60001091"
3,1,3,2,1,4,1,1,1,2,"60001091"
4,2,8,2,1,3,2,0,2,0,"60001091"
5,2,4,0,0,0,1,3,1,4,"60001091"
6,1,4,0,0,0,1,3,1,4,"60001091"
1,2,1,4,0,0,2,0,2,0,"60001101"
2,2,3,5,0,0,2,0,1,1,"60001101"
3,2,3,5,0,0,2,0,1,1,"60001101"
1,1,1,6,1,2,3,0,3,0,"60001111"
2,2,2,6,1,1,3,0,2,0,"60001111"
3,2,3,5,0,0,1,1,1,2,"60001111"
1,2,1,3,0,0,3,0,2,0,"60001121"
2,2,3,4,0,0,3,0,1,1,"60001121"
3,1,4,5,0,0,3,0,1,2,"60001121"
4,1,4,5,0,0,2,0,1,2,"60001121"
1,1,1,6,1,2,2,0,2,0,"60001131"
2,2,2,6,1,1,2,0,2,0,"60001131"
3,1,3,0,0,0,1,1,1,2,"60001131"
4,1,3,0,0,0,1,1,1,2,"60001131"
1,1,1,2,1,2,2,0,2,0,"60001141"
2,2,2,2,1,1,2,0,2,0,"60001141"
1,1,1,2,1,2,3,0,3,0,"60001151"
2,2,2,2,1,1,3,0,2,0,"60001151"
3,1,3,5,0,0,2,0,1,2,"60001151"
4,2,3,5,0,0,2,0,1,2,"60001151"
1,1,1,5,0,0,3,0,2,0,"60001161"
2,2,9,5,0,0,3,0,3,0,"60001161"
1,1,1,4,0,0,3,0,2,0,"60001171"
1,2,1,4,0,0,2,0,2,0,"60001181"
2,2,3,5,0,0,2,0,1,1,"60001181"
1,2,1,4,0,0,3,0,2,0,"60001191"
1,1,1,4,0,0,3,0,3,0,"60001221"
1,1,1,2,1,2,3,0,3,0,"60001231"
2,2,2,2,1,1,2,0,2,0,"60001231"
3,1,3,5,0,0,1,1,1,2,"60001231"
4,2,3,0,0,0,1,1,1,2,"60001231"
5,1,9,4,0,0,2,0,3,0,"60001231"
1,1,1,2,1,2,3,0,3,0,"60001241"
2,2,2,2,1,1,3,0,3,0,"60001241"
3,1,7,5,0,0,3,0,3,0,"60001241"
4,1,7,5,0,0,3,0,3,0,"60001241"
5,1,7,5,0,0,3,0,3,0,"60001241"
6,1,7,5,0,0,3,0,3,0,"60001241"
1,1,1,2,1,2,3,0,2,0,"60001251"
2,2,2,2,1,1,3,0,2,0,"60001251"
3,1,3,5,0,0,1,1,1,2,"60001251"
1,1,1,2,1,2,3,0,3,0,"60001261"
2,2,2,2,1,1,3,0,2,0,"60001261"
3,2,3,0,0,0,1,1,1,2,"60001261"
4,2,3,0,0,0,1,1,1,2,"60001261"
5,2,6,4,0,0,3,0,3,0,"60001261"
6,1,14,5,0,0,2,0,2,0,"60001261"
1,2,1,4,0,0,3,0,2,0,"60001281"
2,1,3,5,0,0,2,0,1,1,"60001281"
3,1,3,5,0,0,2,0,1,1,"60001281"
1,2,1,5,0,0,2,0,1,3,"60001291"
2,1,3,5,0,0,2,0,1,1,"60001291"
3,2,9,4,0,0,2,0,2,0,"60001291"
1,2,1,4,0,0,2,0,2,0,"60001301"
2,1,3,5,0,0,2,0,1,1,"60001301"
3,2,3,4,0,0,2,0,1,1,"60001301"
4,2,4,0,0,0,2,0,1,3,"60001301"
1,2,1,6,1,2,2,0,3,0,"60001311"
2,1,2,6,1,1,2,0,2,0,"60001311"
3,2,3,5,0,0,1,2,1,1,"60001311"
4,2,3,0,0,0,1,2,1,1,"60001311"
1,2,1,4,0,0,3,0,3,0,"60001321"
2,1,3,5,0,0,2,0,1,1,"60001321"
3,2,3,4,0,0,3,0,1,1,"60001321"
4,1,4,0,0,0,2,0,1,3,"60001321"
1,1,1,4,0,0,2,0,2,0,"60001331"
1,1,1,6,1,2,3,0,3,0,"60001341"
2,2,2,6,1,1,3,0,2,0,"60001341"
3,2,3,5,0,0,1,1,1,2,"60001341"
4,2,4,0,0,0,2,0,1,3,"60001341"
5,1,4,0,0,0,2,0,1,3,"60001341"
1,2,1,1,1,2,2,0,2,0,"60001361"
2,1,2,1,1,1,2,0,2,0,"60001361"
3,2,3,5,0,0,2,0,1,1,"60001361"
1,2,1,5,0,0,2,0,2,0,"60001371"
2,2,9,5,0,0,2,0,2,0,"60001371"
1,2,1,5,0,0,2,0,2,0,"60001381"
2,1,3,5,0,0,2,0,1,1,"60001381"
3,1,3,5,0,0,2,0,1,1,"60001381"
1,1,1,2,1,2,2,0,2,0,"60001391"
2,2,2,2,1,1,2,0,2,0,"60001391"
3,1,3,1,1,4,1,1,2,0,"60001391"
4,2,8,1,1,3,2,0,2,0,"60001391"
5,2,3,0,0,0,2,0,1,2,"60001391"
1,1,1,6,1,2,3,0,3,0,"60001401"
2,2,2,6,1,1,3,0,2,0,"60001401"
3,2,14,5,0,0,2,0,2,0,"60001401"
1,1,1,6,1,2,2,0,2,0,"60001411"
2,2,2,6,1,1,2,0,2,0,"60001411"
3,2,3,5,0,0,1,1,1,2,"60001411"
4,1,3,5,0,0,1,1,1,2,"60001411"
5,2,3,5,0,0,1,1,1,2,"60001411"
6,1,4,0,0,0,2,0,1,5,"60001411"
1,1,1,6,1,2,3,0,3,0,"60001431"
2,2,2,6,1,1,3,0,3,0,"60001431"
